t,pose_x,pose_y,pose_z,point_x,point_y,point_z,dx,dy,dz,norm,dt,ux,uy,uz,l,l_err
15.006723806,0.017225755378603935,0.01383140031248331,1.250786304473877,0.02057567983865738,0.03378058224916458,0.8691847920417786,-0.003349924460053444,-0.01994918193668127,0.3816015124320984,0.382137287037389,4.943000000423581e-06,-0.008766285242731838,-0.052204227677812055,0.9985979525592902,0.382137287037389,0.0013003179614632376
15.014133286,0.017193635925650597,0.01377642061561346,1.2509866952896118,0.020292922854423523,0.03401022031903267,0.8693399429321289,-0.0030992869287729263,-0.02023379970341921,0.3816467523574829,0.38219531108442295,-8.830000002291172e-07,-0.008109170465695028,-0.05294099408495823,0.9985647162300773,0.38219531108442295,0.0013583420084972153
15.024667515,0.01728959195315838,0.013814418576657772,1.25115168094635,0.01998286135494709,0.03424716368317604,0.8695617318153381,-0.0026932694017887115,-0.02043274510651827,0.38158994913101196,0.38214609778259784,2.1999998267574483e-08,-0.007047748014218654,-0.05346841227760598,0.9985446700756258,0.38214609778259784,0.0013091287066721025
15.03451867,0.017492271959781647,0.013974557630717754,1.2513675689697266,0.019591502845287323,0.034380413591861725,0.8698521256446838,-0.0020992308855056763,-0.02040585596114397,0.3815154433250427,0.38206653769117427,3.7849999987571437e-06,-0.005494411780187073,-0.053409168163368693,0.9985575958327526,0.38206653769117427,0.001229568615248533
15.044462949,0.01751149445772171,0.014061719179153442,1.2515506744384766,0.019289515912532806,0.03444363549351692,0.870047926902771,-0.0017780214548110962,-0.02038191631436348,0.38150274753570557,0.38205095242680887,6.840000001062663e-06,-0.004653885675502195,-0.05334868604539896,0.9985651000537465,0.38205095242680887,0.00121398335088313
15.056770802,0.01766141690313816,0.01430671289563179,1.2518630027770996,0.01889323815703392,0.03437431901693344,0.8703230023384094,-0.0012318212538957596,-0.02006760612130165,0.3815400004386902,0.38206936298766087,1.3684999998986314e-05,-0.0032240775451433984,-0.052523463185792645,0.9986144857446009,0.38206936298766087,0.0012323939117351301
15.065423577,0.017736569046974182,0.014471527189016342,1.2520612478256226,0.018533840775489807,0.034158483147621155,0.8705444931983948,-0.000797271728515625,-0.019686955958604813,0.3815167546272278,0.38202519018831393,1.1363999998792451e-05,-0.0020869611454747816,-0.051533135678567175,0.9986691046188982,0.38202519018831393,0.0011882211123881992
15.074946055,0.01767897419631481,0.01454214658588171,1.2522783279418945,0.018218258395791054,0.0337948203086853,0.8707576394081116,-0.0005392841994762421,-0.019252673722803593,0.38152068853378296,0.3820065340438778,5.627000000174576e-06,-0.001411714594950617,-0.050398807368546746,0.9987281748692837,0.3820065340438778,0.0011695649679520637
15.088054852,0.017687426880002022,0.014592680148780346,1.2523988485336304,0.017965465784072876,0.033233240246772766,0.8710042834281921,-0.0002780389040708542,-0.01864056009799242,0.38139456510543823,0.3818499208830158,0.0,-0.0007281366025371907,-0.04881645661962354,0.9988075006627616,0.3818499208830158,0.0010129518070900456
15.096315847,0.017567448318004608,0.014636527746915817,1.2525883913040161,0.01755070872604847,0.03252958878874779,0.8711232542991638,1.673959195613861e-05,-0.01789306104183197,0.3814651370048523,0.38188455410476,5.917000001076644e-06,4.383416866749353e-05,-0.046854634075939816,0.9989017175599286,0.38188455410476,0.0010475850288342858
15.105008662,0.017578117549419403,0.014751464128494263,1.252800464630127,0.017287366092205048,0.03167420253157616,0.8715047240257263,0.00029075145721435547,-0.016922738403081894,0.38129574060440063,0.38167120066167864,5.0240000000201235e-06,0.000761785161443406,-0.044338525866620376,0.9990162735448022,0.38167120066167864,0.0008342315857529092
15.115036995,0.017675191164016724,0.014862840995192528,1.252907156944275,0.01710815355181694,0.03087865374982357,0.8717972040176392,0.0005670376121997833,-0.016015812754631042,0.38110995292663574,0.3814467512112111,0.00016194500000032974,0.001486544610484331,-0.041987021002999496,0.9991170503261441,0.3814467512112111,0.0006097821352853416
15.124527284,0.017891481518745422,0.015156993642449379,1.2530317306518555,0.01689574308693409,0.03003457933664322,0.8721676468849182,0.0009957384318113327,-0.01487758569419384,0.38086408376693726,0.381155853103086,7.086000000100512e-06,0.0026124180534150923,-0.039032814459155386,0.9992345143495152,0.381155853103086,0.0003188840271602378
15.134356772,0.018042389303445816,0.015441959723830223,1.2532891035079956,0.016493963077664375,0.02927997149527073,0.8725563287734985,0.0015484262257814407,-0.013838011771440506,0.38073277473449707,0.3809873146846132,7.128000000022894e-06,0.004064246147048886,-0.03632145018501682,0.9993318938969743,0.3809873146846132,0.00015034560868748548
15.144438436,0.0181567445397377,0.015660494565963745,1.2534685134887695,0.01621994376182556,0.02855541743338108,0.87282794713974,0.00193680077791214,-0.012894922867417336,0.38064056634902954,0.380863848354658,1.1750000000532168e-05,0.005085283852167044,-0.03385704083788406,0.9994137484915069,0.380863848354658,2.6879278732239165e-05
15.156661377,0.018114544451236725,0.015812141820788383,1.2536574602127075,0.016005391255021095,0.027899449691176414,0.873032808303833,0.0021091531962156296,-0.012087307870388031,0.3806246519088745,0.3808223695891702,7.688999998478607e-06,0.0055384172901685805,-0.03174001538677409,0.9994808139014811,0.3808223695891702,-1.4599486755528801e-05
15.16449905,0.018074845895171165,0.01594279706478119,1.2538316249847412,0.015671543776988983,0.02705487795174122,0.8733525276184082,0.0024033021181821823,-0.01111208088696003,0.380479097366333,0.38064891663501305,6.031999999933646e-06,0.006313697512730871,-0.029192466867349314,0.999553869034539,0.38064891663501305,-0.00018805244091268936
